Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade Amec Trabuco;Amec;BA;SCHOLARLY;;;
Faculdade Ampére;FAMPER;PR;SCHOLARLY;;;
Faculdade Anchieta;IGABC;SP;SCHOLARLY;;;
Faculdade Anchieta;FAESP;PR;SCHOLARLY;;;
Faculdade Anglicana de Erechim;FAE;RS;SCHOLARLY;;;
Faculdade Anglo-Americano;FAA;PR;SCHOLARLY;;;
Faculdade Anhaguera de Indaiatuba;;SP;SCHOLARLY;;;
Faculdade Anhaguera de Jundiaí;FPJ;SP;SCHOLARLY;;;
Faculdade Anhanguera de Matão;FPM;SP;SCHOLARLY;;;
Faculdade Anhanguera de Rio Claro;;SP;SCHOLARLY;;;
Faculdade Anhanguera de Santa Bárbara;FAC Santa Bárbara;SP;SCHOLARLY;;;
Faculdade Anhanguera de Taubaté;FAC;SP;SCHOLARLY;;;
Faculdade Anhanguera de Valinhos;FAV;SP;SCHOLARLY;;;
Faculdade Anísio Teixeira de Feira de Santana;FAT;BA;SCHOLARLY;;;
Faculdade Anita Garibaldi;FAAG;SC;SCHOLARLY;;;
Faculdade Apoio;FA;BA;SCHOLARLY;;;
Faculdade Araguaia;FARA;GO;SCHOLARLY;;;
Faculdade Arnaldo Horácio Ferreira;FAAHF;BA;SCHOLARLY;;;
Faculdade Arthur Sá Earp Neto;FASE;RJ;SCHOLARLY;;;
Faculdade Asa de Brumadinho;IECEMB - FAB;MG;SCHOLARLY;;;
Faculdade Assis Gurgacz;FAG;PR;SCHOLARLY;;;
Faculdade Associada Brasil;FAB;SP;SCHOLARLY;;;
Faculdade Atenas;;MG;SCHOLARLY;;;
Faculdade Atenas Maranhense;FAMA;MA;SCHOLARLY;;;
Faculdade Atenas Maranhense de Imperatriz;FAMA;MA;SCHOLARLY;;;
Faculdade Ateneu;FATE;CE;SCHOLARLY;;;
Faculdade Atlântico;FA;SE;SCHOLARLY;;;
Faculdade Atlântico Sul de Pelotas;ATLÂNTICOSUL;RS;SCHOLARLY;;;
Faculdade Atlântico Sul do Rio Grande;ATLÂNTICOSUL;RS;SCHOLARLY;;;
Faculdade Atual;FAAT;AP;SCHOLARLY;;;
Faculdade Atual da Amazônia;FAA;RR;SCHOLARLY;;;
Faculdade Autônoma de Direito;FADISP;SP;SCHOLARLY;;;
Faculdade Avantis;AVANTIS;SC;SCHOLARLY;;;
Faculdade Ávila;FAC;GO;SCHOLARLY;;;
Faculdade Baiana de Ciências;FABAC;BA;SCHOLARLY;;;
Faculdade Baiana de Ciências Contábeis;FABAC;BA;SCHOLARLY;;;
Faculdade Baiana de Direito e Gestão;;BA;SCHOLARLY;;;
Faculdade Bandeirantes;FABAN;SP;SCHOLARLY;;;
Faculdade Bandeirantes de Educação Superior;UNISUZ;SP;SCHOLARLY;;;
Faculdade Barão de Piratininga;AES;SP;SCHOLARLY;;;
Faculdade Barão do Rio Branco;FAB;AC;SCHOLARLY;;;
Faculdade Barddal;FB-SI;SC;SCHOLARLY;;;
Faculdade Barddal de Artes Aplicadas;FB-AA;SC;SCHOLARLY;;;
Faculdade Barddal de Ciências Contábeis;FB-CC;SC;SCHOLARLY;;;
Faculdade Barretos;FB;SP;SCHOLARLY;;;
Faculdade Batista Brasileira;FBB;BA;SCHOLARLY;;;
Faculdade Batista da Serra;FABAVI;ES;SCHOLARLY;;;
Faculdade Batista de Minas Gerais;FBMG;MG;SCHOLARLY;;;
Faculdade Batista de Vila Velha;FABAVI;ES;SCHOLARLY;;;
Faculdade Batista de Vitória;FABAVI;ES;SCHOLARLY;;;
Faculdade Batista do Rio de Janeiro;FABAT;RJ;SCHOLARLY;;;
Faculdade Betel de Goianésia;FABEGO;GO;SCHOLARLY;;;
Faculdade Béthencourt da Silva;FABES;RJ;SCHOLARLY;;;
Faculdade Bezerra de Araújo;FABA;RJ;SCHOLARLY;;;
Faculdade Birigui;Fabi;SP;SCHOLARLY;;;
Faculdade Boa Viagem;FBV;PE;SCHOLARLY;;;
Faculdade Boa Viagem - Instituto Materno Infantil de Pernambuco;FBV-IMIP;PE;SCHOLARLY;;;
